epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,270.021,0.7464,0.26382,0.003,0.9893,1,0.995,0.84832,0.72514,0.21393,0.00395,0.0007922,0.0007922,0.0007922
63,274.29,0.73861,0.26588,0.00328,1,0.99506,0.995,0.85905,0.64985,0.19409,0.00361,0.0007724,0.0007724,0.0007724
64,278.556,0.84509,0.3131,0.00352,0.99784,1,0.995,0.82663,0.70508,0.19449,0.00392,0.0007526,0.0007526,0.0007526
65,282.787,0.87902,0.32313,0.00339,0.99578,1,0.995,0.82854,0.72442,0.19666,0.00408,0.0007328,0.0007328,0.0007328
66,287.023,0.75074,0.27064,0.00308,0.9967,1,0.995,0.82393,0.7465,0.19872,0.00425,0.000713,0.000713,0.000713
67,291.332,0.73889,0.28158,0.00324,0.99663,1,0.995,0.85158,0.67928,0.18848,0.00387,0.0006932,0.0006932,0.0006932
68,295.589,0.72128,0.23742,0.00321,0.99554,1,0.995,0.84046,0.70536,0.20535,0.00398,0.0006734,0.0006734,0.0006734
69,299.805,0.75365,0.25563,0.00325,0.99464,1,0.995,0.84055,0.73287,0.19946,0.00417,0.0006536,0.0006536,0.0006536
70,304.059,0.75789,0.29024,0.00334,0.98274,1,0.995,0.8367,0.75999,0.27567,0.00422,0.0006338,0.0006338,0.0006338
71,308.333,0.64058,0.21978,0.00267,0.99304,1,0.995,0.84909,0.69134,0.20619,0.00387,0.000614,0.000614,0.000614
72,312.579,0.80677,0.29346,0.0035,0.99559,1,0.995,0.86493,0.67728,0.19089,0.00368,0.0005942,0.0005942,0.0005942
73,316.791,0.67368,0.26616,0.00265,0.99685,1,0.995,0.85222,0.68408,0.1813,0.00374,0.0005744,0.0005744,0.0005744
74,321.002,0.74042,0.25726,0.00317,0.99721,1,0.995,0.82837,0.7522,0.19625,0.00405,0.0005546,0.0005546,0.0005546
